$
$ ./sendfile -r amber.clear.rice.edu:18004 -f data/data1M.txt
the total_file_length is 1288890
the datasize is 1400
the total count is 921
[SEND SUCCESS] Send the filepathf/filename successfully
[RECEVE ACK SUCCESS] Receive the ack number of filepath/filename successfully
-------- [BEGIN TRANSFERRING] --------
[SEND DATA] 0 (1400) Seq(1)
[SEND DATA] 1400 (1400) Seq(2)
[SEND DATA] 2800 (1400) Seq(3)
[SEND DATA] 4200 (1400) Seq(4)
[SEND DATA] 5600 (1400) Seq(5)
[SEND DATA] 7000 (1400) Seq(6)
[SEND DATA] 8400 (1400) Seq(7)
[SEND DATA] 9800 (1400) Seq(8)
[SEND DATA] 11200 (1400) Seq(9)
[SEND DATA] 12600 (1400) Seq(10)
[SEND DATA] 14000 (1400) Seq(11)
[SEND DATA] 15400 (1400) Seq(12)
[SEND DATA] 16800 (1400) Seq(13)
[SEND DATA] 18200 (1400) Seq(14)
[SEND DATA] 19600 (1400) Seq(15)
[SEND DATA] 21000 (1400) Seq(16)
[SEND DATA] 22400 (1400) Seq(17)
[SEND DATA] 23800 (1400) Seq(18)
[SEND DATA] 25200 (1400) Seq(19)
[SEND DATA] 26600 (1400) Seq(20)
[SEND DATA] 28000 (1400) Seq(21)
[SEND DATA] 29400 (1400) Seq(22)
[SEND DATA] 30800 (1400) Seq(23)
[SEND DATA] 32200 (1400) Seq(24)
[SEND DATA] 33600 (1400) Seq(25)
[SEND DATA] 35000 (1400) Seq(26)
[SEND DATA] 36400 (1400) Seq(27)
[SEND DATA] 37800 (1400) Seq(28)
[SEND DATA] 39200 (1400) Seq(29)
[SEND DATA] 40600 (1400) Seq(30)
[SEND DATA] 42000 (1400) Seq(31)
[SEND DATA] 43400 (1400) Seq(32)
[SEND DATA] 44800 (1400) Seq(33)
[SEND DATA] 46200 (1400) Seq(34)
[SEND DATA] 47600 (1400) Seq(35)
[SEND DATA] 49000 (1400) Seq(36)
[SEND DATA] 50400 (1400) Seq(37)
[SEND DATA] 51800 (1400) Seq(38)
[SEND DATA] 53200 (1400) Seq(39)
[SEND DATA] 54600 (1400) Seq(40)
[SEND DATA] 56000 (1400) Seq(41)
[SEND DATA] 57400 (1400) Seq(42)
[SEND DATA] 58800 (1400) Seq(43)
[SEND DATA] 60200 (1400) Seq(44)
[SEND DATA] 61600 (1400) Seq(45)
[SEND DATA] 63000 (1400) Seq(46)
[SEND DATA] 64400 (1400) Seq(47)
[SEND DATA] 65800 (1400) Seq(48)
[SEND DATA] 67200 (1400) Seq(49)
[SEND DATA] 68600 (1400) Seq(50)
[SEND DATA] 70000 (1400) Seq(51)
[SEND DATA] 71400 (1400) Seq(52)
[SEND DATA] 72800 (1400) Seq(53)
[SEND DATA] 74200 (1400) Seq(54)
[SEND DATA] 75600 (1400) Seq(55)
[SEND DATA] 77000 (1400) Seq(56)
[SEND DATA] 78400 (1400) Seq(57)
[SEND DATA] 79800 (1400) Seq(58)
[SEND DATA] 81200 (1400) Seq(59)
[SEND DATA] 82600 (1400) Seq(60)
[SEND DATA] 84000 (1400) Seq(61)
[SEND DATA] 85400 (1400) Seq(62)
[SEND DATA] 86800 (1400) Seq(63)
[SEND DATA] 88200 (1400) Seq(64)
[SEND DATA] 89600 (1400) Seq(65)
[SEND DATA] 91000 (1400) Seq(66)
[SEND DATA] 92400 (1400) Seq(67)
[SEND DATA] 93800 (1400) Seq(68)
[SEND DATA] 95200 (1400) Seq(69)
[SEND DATA] 96600 (1400) Seq(70)
[SEND DATA] 98000 (1400) Seq(71)
[SEND DATA] 99400 (1400) Seq(72)
[SEND DATA] 100800 (1400) Seq(73)
[SEND DATA] 102200 (1400) Seq(74)
[SEND DATA] 103600 (1400) Seq(75)
[SEND DATA] 105000 (1400) Seq(76)
[SEND DATA] 106400 (1400) Seq(77)
[SEND DATA] 107800 (1400) Seq(78)
[SEND DATA] 109200 (1400) Seq(79)
[SEND DATA] 110600 (1400) Seq(80)
[SEND DATA] 112000 (1400) Seq(81)
[SEND DATA] 113400 (1400) Seq(82)
[SEND DATA] 114800 (1400) Seq(83)
[SEND DATA] 116200 (1400) Seq(84)
[SEND DATA] 117600 (1400) Seq(85)
[SEND DATA] 119000 (1400) Seq(86)
[SEND DATA] 120400 (1400) Seq(87)
[SEND DATA] 121800 (1400) Seq(88)
[SEND DATA] 123200 (1400) Seq(89)
